scenario,total_flow,total_queue_length,avg_queue_length
scenario_1,1392.0,6438.0,0.2980555555555556
scenario_2,2031.5,11069.0,0.5124537037037037
scenario_3,2186.5,13183.0,0.6103240740740741
scenario_4,2252.5,14774.0,0.6839814814814815
scenario_5,2256.0,13712.0,0.6348148148148148
scenario_6,2331.5,13960.0,0.6462962962962963
scenario_7,2335.0,13991.0,0.6477314814814815
scenario_8,2342.0,14428.0,0.667962962962963
scenario_9,2508.5,13759.0,0.6369907407407407
scenario_10,2543.0,19958.0,0.9239814814814815
scenario_11,2657.0,36124.0,1.6724074074074073
scenario_12,3094.5,74987.0,3.4716203703703705
scenario_13,3171.0,17168.0,0.7948148148148149
scenario_14,3509.5,166681.0,7.716712962962963
