scenario,total_flow,total_queue_length,avg_queue_length
scenario_1,1392.0,24557.0,1.1368981481481482
scenario_2,2031.5,37932.0,1.7561111111111112
scenario_3,2186.5,49032.0,2.27
scenario_4,2252.5,52846.0,2.446574074074074
scenario_5,2256.0,50400.0,2.3333333333333335
scenario_6,2331.5,50729.0,2.348564814814815
scenario_7,2335.0,50668.0,2.345740740740741
scenario_8,2342.0,53492.0,2.4764814814814815
scenario_9,2508.5,50078.0,2.318425925925926
scenario_10,2543.0,136771.0,6.331990740740741
scenario_11,2657.0,64174.0,2.9710185185185187
scenario_12,3094.5,166554.0,7.710833333333333
scenario_13,3171.0,63792.0,2.953333333333333
scenario_14,3509.5,171717.0,7.949861111111111
