scenario,total_flow,total_queue_length,avg_queue_length
scenario_1,1392.0,202611.0,9.380138888888888
scenario_2,2031.5,217289.0,10.059675925925927
scenario_3,2186.5,227761.0,10.544490740740741
scenario_4,2252.5,227816.0,10.547037037037038
scenario_5,2256.0,226256.0,10.474814814814815
scenario_6,2331.5,229441.0,10.622268518518519
scenario_7,2335.0,227672.0,10.54037037037037
scenario_8,2342.0,231243.0,10.705694444444445
scenario_9,2508.5,229096.0,10.606296296296296
scenario_10,2543.0,303152.0,14.034814814814816
scenario_11,2657.0,243646.0,11.279907407407407
scenario_12,3094.5,386975.0,17.91550925925926
scenario_13,3171.0,238208.0,11.028148148148148
scenario_14,3509.5,404198.0,18.71287037037037
