scenario,total_flow,total_queue_length,avg_queue_length
scenario_1,1392.0,6421.0,0.29726851851851854
scenario_2,2031.5,11149.0,0.5161574074074075
scenario_3,2186.5,13987.0,0.6475462962962963
scenario_4,2252.5,15400.0,0.7129629629629629
scenario_5,2256.0,14500.0,0.6712962962962963
scenario_6,2331.5,15431.0,0.7143981481481482
scenario_7,2335.0,14820.0,0.6861111111111111
scenario_8,2342.0,15593.0,0.7218981481481481
scenario_9,2508.5,14169.0,0.6559722222222222
scenario_10,2543.0,17893.0,0.8283796296296296
scenario_11,2657.0,20458.0,0.9471296296296297
scenario_12,3094.5,36363.0,1.6834722222222223
scenario_13,3171.0,18015.0,0.8340277777777778
scenario_14,3509.5,84018.0,3.8897222222222223
